akāra	a	kāra
aṃśakaraṇa	aṃśa	karaṇa
aṃśakalpanā	aṃśa	kalpanā
aṃśaprakalpanā	aṃśa	prakalpanā
aṃśapradāna	aṃśa	pradāna
aṃśabhāgin	aṃśa	bhāgin
aṃśabhāj	aṃśa	bhāj
aṃśabhū	aṃśa	bhū
aṃśabhūta	aṃśa	bhūta
aṃśarūpiṇī	aṃśa	rūpiṇī
aṃśavat	aṃśa	vat
aṃśasavarṇana	aṃśa	savarṇana
aṃśasvara	aṃśa	svara
aṃśahara	aṃśa	hara
aṃśahārin	aṃśa	hārin
aṃśā@ṃśa	aṃśa	?
aṃśā@ṃsi	aṃśa	?
aṃśā@vataraṇa	aṃśa	?
aṃśīkṛ	aṃśa	?
aṃśi-tā	aṃśin	?
aṃśujāla	aṃśu	jāla
aṃśudhara	aṃśu	dhara
aṃśudhāna	aṃśu	dhāna
aṃśudhāraya	aṃśu	dhāraya
aṃśunadī	aṃśu	nadī
aṃśupaṭṭa	aṃśu	paṭṭa
aṃśupati	aṃśu	pati
aṃśubhartṛ	aṃśu	bhartṛ
aṃśumat	aṃśu	mat
aṃśumālā	aṃśu	mālā
aṃśumālin	aṃśu	mālin
aṃśuvāṇa	aṃśu	vāṇa
aṃśuvimarda	aṃśu	vimarda
aṃśuhasta	aṃśu	hasta
aṃśū@daka	aṃśu	?
aṃśv-ādi	aṃśu	?
aṃsakūṭa	aṃsa	kūṭa
aṃsatra	aṃsa	tra
aṃsadaghna	aṃsa	daghna
aṃsadhrī	aṃsa	dhrī
aṃsapīṭha	aṃsa	pīṭha
aṃsapṛṣṭha	aṃsa	pṛṣṭha
aṃsaphalaka	aṃsa	phalaka
aṃsabhāra	aṃsa	bhāra
aṃse-bhāra	aṃsa	?
aṃsabhārika	aṃsa	bhārika
aṃse-bhārika	aṃsa	?
aṃsamūla	aṃsa	mūla
aṃso@ccaya	aṃsa	?
aṃhripa	aṃhri	pa
aṃhriskandha	aṃhri	skandha
aṃhriśiras	aṃhri	śiras
aṃhaspati	aṃhas	pati
aṃhasas-pati	aṃhas	?
aṃhaspatya	aṃhas	patya
aṃho-muc	aṃhas	?
aṃho-liṅga	aṃhas	?
aṃhubhedī	aṃhu	bhedī
akaḍamacakra	akaḍama	cakra
akaniṣṭhaga	akaniṣṭha	ga
akaniṣṭhapa	akaniṣṭha	pa
akaruṇatva	akaruṇa	tva
akartṛtva	akartṛ	tva
akarma-bhoga	akarman	?
a-karmā@nvita	akarman	?
akalkatā	akalka	tā
akāṇḍapāta-jāta	akāṇḍa	pāta-jāta
akāṇḍaśūla	akāṇḍa	śūla
akāmakarśana	akāma	karśana
akāmatas	akāma	tas
akāmatā	akāma	tā
akāmasaṃjñapana	akāma	saṃjñapana
akāmahata	akāma	hata
a-kāraṇo@tpanna	akāraṇa	?
akāryakārin	akārya	kārin
a-kālaka	akāla	?
akālakuṣmāṇḍa	akāla	kuṣmāṇḍa
akālakusuma	akāla	kusuma
akālaja	akāla	ja
akālajāta	akāla	jāta
akālo@tpanna	akāla	?
akālajalado@daya	akāla	jalado@daya
akālamegho@daya	akāla	megho@daya
akālavelā	akāla	velā
akālasaha	akāla	saha
akālakaumudī	akāla	kaumudī
akālahīnam	akāla	hīnam
akiñcanatā	akiñcana	tā
akiñcanatva	akiñcana	tva
akīrtikara	akīrti	kara
akuṇṭhadhiṣṇya	akuṇṭha	dhiṣṇya
a-kutaś-cana	akutas	?
akutaś-cala	akutas	?
a-kutaś-cid	akutas	?
a-kuto-mṛtyu	akutas	?
a-kuto-bhaya	akutas	?
a-kutaścid-bhaya	akutas	?
a-kutraca-bhaya	akutas	?
akupyaka	akupya	?
a-kulaka	akula	?
akulatā	akula	tā
akṛtakāram	akṛta	kāram
akṛtakārya	akṛta	kārya
akṛtakṛtya	akṛta	kṛtya
akṛtacūḍa	akṛta	cūḍa
akṛtajña	akṛta	jña
akṛtajña-tā	akṛta	jña-tā
akṛtabuddhi	akṛta	buddhi
akṛtabuddhi-tva	akṛta	buddhi-tva
akṛtavraṇa	akṛta	vraṇa
akṛtaśmaśāna	akṛta	śmaśāna
akṛtā@tman	akṛta	?
akṛtā@rtha	akṛta	?
akṛtā@stra	akṛta	?
akṛti-tva	akṛtin	?
akṛtyakārin	akṛtya	kārin
akṛttaruc	akṛtta	ruc
akṛśakīrti	akṛśa	kīrti
akṛśalakṣmī	akṛśa	lakṣmī
a-kṛśā@śva	akṛśa	?
akṛṣṭapacya	akṛṣṭa	pacya
akkādevī	akkā	devī
akramaśas	akrama	śas
a-kramo@ḍhā	akrama	?
akrodhamaya	akrodha	maya
akliṣṭakarman	akliṣṭa	karman
akliṣṭakārin	akliṣṭa	kārin
akliṣṭavrata	akliṣṭa	vrata
akṣakarṇa	akṣa	karṇa
akṣaja	akṣa	ja
akṣadṛk-karman	akṣa	dṛk-karman
akṣadvāra	akṣa	dvāra
akṣadhur	akṣa	dhur
akṣadhurā	akṣa	dhurā
akṣadhūrtila	akṣa	dhūrtila
akṣapīḍa	akṣa	pīḍa
akṣabhā	akṣa	bhā
akṣabhāga	akṣa	bhāga
akṣabhāra	akṣa	bhāra
akṣaśabda	akṣa	śabda
akṣasaṅgam	akṣa	saṅgam
akṣā@ṃsa	akṣa	?
akṣā@gra	akṣa	?
akṣā@gra-kīla	akṣa	?
akṣā@gra-kīlaka	akṣa	?
akṣā-nah	akṣa	?
akṣakāma	akṣa	kāma
akṣakitava	akṣa	kitava
akṣakuśala	akṣa	kuśala
akṣakṣapaṇa	akṣa	kṣapaṇa
akṣaglaha	akṣa	glaha
akṣaja	akṣa	ja
akṣatattva	akṣa	tattva
akṣadāya	akṣa	dāya
akṣadevana	akṣa	devana
akṣadevin	akṣa	devin
akṣadyū	akṣa	dyū
akṣadyūta	akṣa	dyūta
akṣadyūtā@di	akṣa	dyūtā@di
akṣadrugdha	akṣa	drugdha
akṣadhara	akṣa	dhara
akṣadharma	akṣa	dharma
akṣadhūrta	akṣa	dhūrta
akṣanaipuṇa	akṣa	naipuṇa
akṣanaipuṇya	akṣa	naipuṇya
akṣaparājaya	akṣa	parājaya
akṣapari	akṣa	pari
akṣapāta	akṣa	pāta
akṣapātana	akṣa	pātana
akṣapriya	akṣa	priya
akṣabhūmi	akṣa	bhūmi
akṣamada	akṣa	mada
akṣamātra	akṣa	mātra
akṣamālā	akṣa	mālā
akṣamālin	akṣa	mālin
akṣamālikā	akṣa	mālikā
akṣarāja	akṣa	rāja
akṣavat	akṣa	vat
akṣavāpa	akṣa	vāpa
akṣavāma	akṣa	vāma
akṣavid	akṣa	vid
akṣavṛtta	akṣa	vṛtta
akṣaśauṇḍa	akṣa	śauṇḍa
akṣaśikṣā	akṣa	śikṣā
akṣaśīla	akṣa	śīla
akṣasūkta	akṣa	sūkta
akṣasūtra	akṣa	sūtra
akṣastuṣa	akṣa	stuṣa
akṣahṛdaya	akṣa	hṛdaya
akṣahṛdaya-jña	akṣa	hṛdaya-jña
akṣā@tivāpa	akṣa	?
akṣā@vapana	akṣa	?
akṣā@valī	akṣa	?
akṣā@vāpa	akṣa	?
akṣadarśaka	akṣa	darśaka
akṣadṛś	akṣa	dṛś
akṣapaṭala	akṣa	paṭala
akṣapāṭa	akṣa	pāṭa
akṣapāṭaka	akṣa	pāṭaka
akṣapāṭika	akṣa	pāṭika
akṣavāṭa	akṣa	vāṭa
akṣavid	akṣa	vid
a-kṣatā@maya	akṣata	?
akṣatayoni	akṣata	yoni
akṣamatā	akṣama	tā
a-kṣamin	akṣama	?
akṣayaguṇa	akṣaya	guṇa
akṣayatā	akṣaya	tā
akṣayatva	akṣaya	tva
akṣayatṛtīyā	akṣaya	tṛtīyā
akṣayanīvī	akṣaya	nīvī
akṣayapuruhūta	akṣaya	puruhūta
akṣayamati	akṣaya	mati
akṣayaloka	akṣaya	loka
akṣayavaṭa	akṣaya	vaṭa
akṣayyanavamī	akṣayya	navamī
akṣayyo@daka	akṣayya	?
akṣarakara	akṣara	kara
akṣaracañcu	akṣara	cañcu
akṣaracuñcu	akṣara	cuñcu
akṣaracaṇa	akṣara	caṇa
akṣaracana	akṣara	cana
akṣaracyutaka	akṣara	cyutaka
akṣarachandas	akṣara	chandas
akṣarajananī	akṣara	jananī
akṣarajīvaka	akṣara	jīvaka
akṣarajīvika	akṣara	jīvika
akṣarajīvin	akṣara	jīvin
akṣaratūlikā	akṣara	tūlikā
akṣaranyāsa	akṣara	nyāsa
akṣarapaṅkti	akṣara	paṅkti
akṣarabhāj	akṣara	bhāj
akṣaramukha	akṣara	mukha
akṣaramuṣṭikā	akṣara	muṣṭikā
akṣaravat	akṣara	vat
akṣaravinyāsa	akṣara	vinyāsa
akṣaraśas	akṣara	śas
akṣaraśikṣā	akṣara	śikṣā
akṣaraśūnya	akṣara	śūnya
akṣarasaṃsthāna	akṣara	saṃsthāna
akṣarasamāmnāya	akṣara	samāmnāya
akṣarasaṃhāta	akṣara	saṃhāta
akṣarasaṃghāta	akṣara	saṃghāta
akṣarasaṃhitā	akṣara	saṃhitā
akṣarasadhātu	akṣara	sadhātu
akṣarasampad	akṣara	sampad
akṣarā@kṣara	akṣara	?
akṣarā@ṅga	akṣara	?
a-kṣarā@ntara	akṣara	?
akṣare-sthā	akṣara	?
akṣaryaṃ-revat	akṣarya	?
akṣāralavaṇa	akṣāra	lavaṇa
akṣāralavaṇā@śin	akṣāra	lavaṇā@śin
akṣikūṭa	akṣi	kūṭa
akṣikūṭaka	akṣi	kūṭaka
akṣigata	akṣi	gata
akṣigola	akṣi	gola
akṣijāha	akṣi	jāha
akṣitārā	akṣi	tārā
akṣinikāṇam	akṣi	nikāṇam
akṣinimeṣa	akṣi	nimeṣa
akṣipakṣman	akṣi	pakṣman
akṣipaṭala	akṣi	paṭala
akṣipat	akṣi	pat
akṣipāka	akṣi	pāka
akṣibandha	akṣi	bandha
akṣibhū	akṣi	bhū
akṣibheṣaja	akṣi	bheṣaja
akṣibhruva	akṣi	bhruva
akṣimat	akṣi	mat
akṣilakṣīkṛ	akṣi	?
akṣiloman	akṣi	loman
akṣivikūṇita	akṣi	vikūṇita
akṣisaṃtarjana	akṣi	saṃtarjana
akṣisaṃskāra	akṣi	saṃskāra
akṣy-āmaya	akṣi	?
akṣy-āmayin	akṣi	?
akṣacaraṇa	akṣa	caraṇa
akṣapad	akṣa	pad
akṣapāda	akṣa	pāda
akṣaprapātana	akṣa	prapātana
akṣanvat	akṣan	vat
akṣanvat	akṣan	vat
a-kṣitā-vasu	akṣita	?
akṣito@ti	akṣita	?
akṣuṇṇatā	akṣuṇṇa	tā
akṣuṇṇavedha	akṣuṇṇa	vedha
akṣetrajña	akṣetra	jña
akṣetravid	akṣetra	vid
akṣobhyatīrtha	akṣobhya	tīrtha
akṣṇayāvan	akṣṇa	yāvan
akṣṇayākṛta	akṣṇayā	kṛta
akṣṇayādeśa	akṣṇayā	deśa
akṣṇayādruh	akṣṇayā	druh
akṣṇayā@pacchedana	akṣṇayā	?
akṣṇayārajju	akṣṇayā	rajju
akṣṇayāstomīyā	akṣṇayā	stomīyā
akhaṇḍakala	akhaṇḍa	kala
akhaṇḍamaṇḍala	akhaṇḍa	maṇḍala
a-khaṇḍo@padhi	akhaṇḍa	?
akhaṇḍitartu	akhaṇḍita	rtu
akhidrayāman	akhidra	yāman
akhilā@tman	akhila	?
akhilīkṛ	akhila	?
akhedi-tva	akhedin	?
akhkhalī-kṛtyā	akhkhala	?
akhyātikara	akhyāti	kara
agaja	aga	ja
agā@tma-jā	aga	?
agā@vaha	aga	?
agau@kas	aga	?
agaṇitapratiyāta	agaṇita	pratiyāta
agaṇitalajja	agaṇita	lajja
a-gatā@su	agata	?
agatikagati	agatika	gati
agadaṃ-kāra	agada	?
agadaveda	agada	veda
agandhasevin	agandha	sevin
agamyagā	agamya	gā
agamyarūpa	agamya	rūpa
agamyāgamana	agamyā	gamana
agamyāgamanīya	agamyā	gamanīya
agamyāgāmin	agamyā	gāmin
agastidru	agasti	dru
agastyagītā	agastya	gītā
agastyagṛhaspatika	agastya	gṛhaspatika
agastyacāra	agastya	cāra
agastyamārga	agastya	mārga
agastyaśāsta	agastya	śāsta
agastyasaṃhitā	agastya	saṃhitā
agastyo@daya	agastya	?
agādhajala	agādha	jala
agādharudhira	agādha	rudhira
agāradāhin	agāra	dāhin
agāravinoda	agāra	vinoda
agārastūpa	agāra	stūpa
agārasthūṇā-virohaṇa	agāra	sthūṇā-virohaṇa
agārā@vakāśa	agāra	?
a-goḥ-prā@paṇam	ago	?
agotā	ago	tā
aguṇatā	aguṇa	tā
aguṇatva	aguṇa	tva
aguṇavat	aguṇa	vat
aguṇavādin	aguṇa	vādin
aguṇaśīla	aguṇa	śīla
agūḍhagandha	agūḍha	gandha
agūḍhabhāva	agūḍha	bhāva
agṛbhītaśocis	agṛbhīta	śocis
agṛhatā	agṛha	tā
agṛhītadiś	agṛhīta	diś
agocarīkṛ	agocara	?
agnāmarutau	agnā	marutau
agnāviṣṇū	agnā	viṣṇū
agnikaṇa	agni	kaṇa
agnikarman	agni	karman
agnikalpa	agni	kalpa
agnikārikā	agni	kārikā
agnikārya	agni	kārya
agnikāṣṭha	agni	kāṣṭha
agnikukkuṭa	agni	kukkuṭa
agnikuṇḍa	agni	kuṇḍa
agnikumāra	agni	kumāra
agnikṛta	agni	kṛta
agniketu	agni	ketu
agnikoṇa	agni	koṇa
agnikrīḍā	agni	krīḍā
agnikṣetra	agni	kṣetra
agnikhadā	agni	khadā
agnigarbha	agni	garbha
agnigṛha	agni	gṛha
agnigodāna	agni	godāna
agnigrantha	agni	grantha
agnighaṭa	agni	ghaṭa
agnicakra	agni	cakra
agnicaya	agni	caya
agnicayana	agni	cayana
agniciti	agni	citi
agnicityā	agni	cityā
agnicit	agni	cit
agnicit-vat	agni	cit-vat
agnija	agni	ja
agnijanman	agni	janman
agnijā	agni	jā
agnijāra	agni	jāra
agnijāla	agni	jāla
agnijihva	agni	jihva
agnijyeṣṭha	agni	jyeṣṭha
agnijyotis	agni	jyotis
agnijvalita-tejana	agni	jvalita-tejana
agnijvāla	agni	jvāla
agnitanu	agni	tanu
agnitap	agni	tap
agnitapas	agni	tapas
agnitapta	agni	tapta
agnitā	agni	tā
agnituṇḍa	agni	tuṇḍa
agnitejas	agni	tejas
agnitraya	agni	traya
agnitretā	agni	tretā
agnitrā	agni	trā
agnida	agni	da
agnidagdha	agni	dagdha
agnidagdha	agni	dagdha
agnidatta	agni	datta
agnidamanī	agni	damanī
agnidāyaka	agni	dāyaka
agnidāha	agni	dāha
agnidiś	agni	diś
agnidīpana	agni	dīpana
agnidīpta	agni	dīpta
agnidīpti	agni	dīpti
agnidūta	agni	dūta
agnidūṣita	agni	dūṣita
agnideva	agni	deva
agnidevata	agni	devata
agnidaivata	agni	daivata
agnidh	agni	dh
agnidhāna	agni	dhāna
agninakṣatra	agni	nakṣatra
agninayana	agni	nayana
agnināman	agni	nāman
agninārāyaṇa	agni	nārāyaṇa
